Title,Features.Max Players,Metadata.Genres,Metadata.Publishers,Metrics.Review Score,Metrics.Sales,Metrics.Used Price,Release.Console,Release.Rating,Release.Year,Length.All PlayStyles.Average,Length.All PlayStyles.Leisure,Length.All PlayStyles.Median,Length.All PlayStyles.Rushed,Length.Completionists.Average,Length.Completionists.Leisure,Length.Completionists.Median,Length.Completionists.Rushed,Length.Main + Extras.Average,Length.Main + Extras.Leisure,Length.Main + Extras.Median,Length.Main + Extras.Rushed,Length.Main Story.Average,Length.Main Story.Leisure,Length.Main Story.Median,Length.Main Story.Rushed
Super Mario 64 DS,1,action,Nintendo,85,4.69,24.95,Nintendo DS,E,2004,22.71666667,31.9,24.48333333,14.3,29.76666667,35.03333333,30,22.01666667,24.91666667,29.96666667,25,18.33333333,14.33333333,18.31666667,14.5,9.7
Lumines: Puzzle Fusion,1,strategy,Ubisoft,89,0.56,14.95,Sony PSP,E,2004,10.1,11.01666667,10,9.516666667,0,0,0,0,9.75,9.866666667,9.75,9.616666667,10.33333333,11.08333333,10,9.583333333
WarioWare Touched!,2,action/racing/sports,Nintendo,81,0.54,22.95,Nintendo DS,E,2004,4.566666667,11.56666667,2.5,2.266666667,10,14.1,7.25,6.8,3.85,5.666666667,3.333333333,2.783333333,1.916666667,2.933333333,1.833333333,1.433333333
Hot Shots Golf: Open Tee,1,sports,Sony,81,0.49,12.95,Sony PSP,E,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spider-Man 2,1,action,Activision,61,0.45,14.95,Nintendo DS,E,2004,13.25,48.38333333,10,7.066666667,72.56666667,78.86666667,72.56666667,66.28333333,12.76666667,17.31666667,12.5,10.48333333,8.35,11.08333333,8,5.333333333
The Urbz: Sims in the City,1,simulation,EA,67,0.41,12.95,Nintendo DS,M,2004,21.93333333,25.5,20,16.73333333,30.03333333,30.03333333,30.03333333,30.03333333,20.83333333,25.2,20,16.45,15.5,15.75,15.5,15.25
Ridge Racer,1,racing  ,Namco,88,0.36,19.95,Sony PSP,E,2004,0.816666667,1.05,0.883333333,0.583333333,1.25,1.25,1.25,1.25,0.883333333,0.933333333,0.883333333,0.833333333,0.616666667,0.783333333,0.533333333,0.45
Metal Gear Ac!d,1,strategy,Konami,75,0.34,17.95,Sony PSP,E,2004,25.38333333,51.65,21.26666667,19.16666667,80,80,80,80,24.83333333,27.48333333,25.1,21.91666667,20.7,23.6,20.78333333,17.88333333
Madden NFL 2005,1,sports,EA,68,0.25,8.95,Nintendo DS,T,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pokmon Dash,1,racing ,Nintendo,46,0.22,24.95,Nintendo DS,T,2004,3.833333333,7.25,1.183333333,1.75,12,12,12,12,0,0,0,0,1.116666667,1.2,1.083333333,1.05
Dynasty Warriors,1,action/adventure/role-playing (rpG),NA,62,0.2,14.95,Sony PSP,E,2004,8.883333333,18.05,2.083333333,3.116666667,0,0,0,0,0,0,0,0,8.883333333,18.05,2.083333333,3.116666667
Feel the Magic XY/XX,1,action/adventure/racing/sports,Sega,75,0.16,8.95,Nintendo DS,T,2004,2.9,3.8,3,2.316666667,0,0,0,0,3.1,3.15,3.1,3.05,2.85,3.783333333,2.983333333,2.3
Ridge Racer DS,1,racing  ,Namco,63,0.15,9.95,Nintendo DS,E,2004,2.233333333,2.233333333,2.233333333,2.233333333,0,0,0,0,0,0,0,0,2.233333333,2.233333333,2.233333333,2.233333333
Darkstalkers Chronicle: The Chaos Tower,1,action,Capcom,74,0.14,14.95,Sony PSP,E,2004,1.633333333,2.4,2,1.066666667,0,0,0,0,0,0,0,0,1.633333333,2.4,2,1.066666667
Ape Escape Academy,4,action/sports,Sony,51,0.13,14.95,Sony PSP,E,2004,1.883333333,1.883333333,1.883333333,1.883333333,0,0,0,0,0,0,0,0,1.883333333,1.883333333,1.883333333,1.883333333
Polarium,1,strategy,Nintendo,73,0.12,8.95,Nintendo DS,E,2004,6.733333333,9.183333333,6,5.266666667,12,12,12,12,0,0,0,0,5.416666667,5.783333333,5.75,4.866666667
